time_sec,dominant_frequency_hz,mean_db_all_band,mean_db_80_300hz
2.2826666666666666,984.375,-34.651546,-29.085846
2.2933333333333334,937.5,-34.447628,-26.463108
2.304,960.9375,-34.311058,-20.660872
2.3146666666666667,984.375,-34.30362,-24.931458
2.3253333333333335,984.375,-34.143135,-19.941666
2.336,937.5,-34.121876,-16.83609
2.3466666666666667,984.375,-33.804733,-8.777956
2.3573333333333335,984.375,-33.061913,-7.439103
2.368,890.625,-29.624384,-2.6500921
2.3786666666666667,890.625,-27.1642,0.9768565
2.3893333333333335,750.0,-22.074463,12.662838
2.4,750.0,-19.134409,17.711002
2.4106666666666667,773.4375,-21.100744,11.103541
2.421333333333333,632.8125,-22.774643,-7.76877
2.432,750.0,-21.792677,-3.089745
2.4426666666666668,890.625,-21.24724,-4.4414325
2.453333333333333,890.625,-22.124207,-10.511376
2.464,726.5625,-21.833693,-9.345408
2.474666666666667,726.5625,-21.531075,-3.3402975
2.485333333333333,703.125,-21.081547,-0.04308153
2.496,679.6875,-20.900463,-1.1414053
2.506666666666667,703.125,-20.993788,-1.5178795
2.517333333333333,656.25,-21.1124,-1.3621931
2.528,632.8125,-20.89179,-2.130226
2.538666666666667,609.375,-20.461382,0.86818355
2.5493333333333332,703.125,-19.976877,4.4986944
2.56,679.6875,-20.277506,6.0181217
2.570666666666667,679.6875,-20.463266,7.3122506
2.5813333333333333,679.6875,-19.97737,9.579205
2.592,117.1875,-19.576841,17.205881
2.6026666666666665,93.75,-19.27385,19.68845
2.6133333333333333,70.3125,-19.59808,21.186255
2.624,70.3125,-18.788677,24.10629
2.6346666666666665,70.3125,-18.821676,23.178913
2.6453333333333333,70.3125,-17.805311,24.9546
2.656,70.3125,-17.968403,24.018877
2.6666666666666665,70.3125,-17.508802,25.627766
2.6773333333333333,70.3125,-17.249624,25.989883
2.688,70.3125,-17.3364,26.186926
2.6986666666666665,70.3125,-18.130436,25.290245
2.7093333333333334,70.3125,-17.837473,24.51941
2.72,70.3125,-18.362703,25.658415
2.7306666666666666,70.3125,-18.551632,25.631142
2.7413333333333334,70.3125,-18.49262,24.087513
2.752,70.3125,-18.388395,25.420986
2.7626666666666666,70.3125,-18.486057,24.850176
2.7733333333333334,70.3125,-18.082058,26.251198
2.784,70.3125,-17.792028,25.678171
2.7946666666666666,70.3125,-17.927158,25.935083
2.8053333333333335,70.3125,-18.257736,24.306385
2.816,70.3125,-18.07904,24.666445
2.8266666666666667,70.3125,-18.110071,24.383644
2.8373333333333335,70.3125,-18.195957,24.91094
2.848,70.3125,-18.1152,25.155586
2.8586666666666667,70.3125,-18.289162,23.663353
2.8693333333333335,70.3125,-18.498676,24.666155
2.88,70.3125,-18.649849,24.347818
2.8906666666666667,70.3125,-18.826918,23.469433
2.9013333333333335,70.3125,-18.763857,23.371605
2.912,70.3125,-18.635635,22.332644
2.9226666666666667,140.625,-18.573229,24.520535
2.933333333333333,140.625,-18.353981,24.425575
2.944,140.625,-18.500395,23.237139
2.9546666666666668,140.625,-18.70942,24.158255
2.965333333333333,140.625,-18.406975,24.646534
2.976,140.625,-19.16749,24.829426
2.986666666666667,140.625,-19.121693,25.534859
2.997333333333333,140.625,-18.900148,25.598347
3.008,140.625,-19.150766,25.19593
3.018666666666667,140.625,-18.667164,25.46601
3.029333333333333,140.625,-18.446688,25.799051
3.04,140.625,-19.055668,25.630095
3.050666666666667,140.625,-19.041058,24.903448
3.0613333333333332,140.625,-18.412088,26.101322
3.072,140.625,-18.544302,25.567745
3.082666666666667,140.625,-18.06759,24.577774
3.0933333333333333,117.1875,-18.525064,24.797686
3.104,117.1875,-17.835299,24.913767
3.1146666666666665,117.1875,-17.39541,22.914728
3.1253333333333333,117.1875,-17.578186,20.231367
3.136,117.1875,-17.513329,22.481693
3.1466666666666665,117.1875,-17.219559,23.467688
3.1573333333333333,117.1875,-17.999815,22.523195
3.168,117.1875,-17.507124,20.565895
3.1786666666666665,117.1875,-17.27781,20.346727
3.1893333333333334,117.1875,-17.532625,22.382948
3.2,93.75,-17.31001,23.675821
3.2106666666666666,93.75,-17.501013,24.614632
3.2213333333333334,93.75,-18.04167,23.200539
3.232,93.75,-17.923798,21.624006
3.2426666666666666,93.75,-17.7765,23.020761
3.2533333333333334,93.75,-17.518814,23.742435
3.264,93.75,-17.578407,22.414831
3.2746666666666666,93.75,-17.497099,22.869356
3.2853333333333334,93.75,-17.375765,24.11875
3.296,93.75,-17.532816,26.06146
3.3066666666666666,93.75,-18.666426,20.673332
3.3173333333333335,93.75,-19.221598,20.778137
3.328,70.3125,-19.665346,17.892866
3.3386666666666667,70.3125,-19.514626,20.470957
3.3493333333333335,70.3125,-19.28054,20.633362
3.36,70.3125,-18.876848,22.187826
3.3706666666666667,70.3125,-18.84572,24.152262
3.3813333333333335,70.3125,-19.149183,23.837816
3.392,70.3125,-18.793089,24.154808
3.4026666666666667,70.3125,-18.613932,23.717861
3.4133333333333336,70.3125,-19.010431,21.571589
3.424,70.3125,-19.20715,22.461727
3.4346666666666668,70.3125,-18.778244,20.13981
3.445333333333333,70.3125,-18.137747,19.103083
3.456,93.75,-18.314753,20.87935
3.466666666666667,93.75,-18.358248,18.29707
3.477333333333333,93.75,-18.799345,20.691856
3.488,93.75,-18.353636,21.322308
3.498666666666667,93.75,-18.45107,21.771147
3.509333333333333,70.3125,-18.125504,19.192871
3.52,70.3125,-17.920664,19.933235
3.530666666666667,70.3125,-17.77826,21.032694
3.541333333333333,70.3125,-17.952362,19.821188
3.552,70.3125,-17.83475,18.468971
3.562666666666667,70.3125,-18.09407,20.753197
3.5733333333333333,70.3125,-18.022095,19.298904
3.584,70.3125,-17.883652,19.155918
3.5946666666666665,93.75,-18.179768,22.499046
3.6053333333333333,93.75,-18.445705,23.275637
3.616,93.75,-18.200079,23.468279
3.6266666666666665,93.75,-18.58229,23.660992
3.6373333333333333,70.3125,-18.387112,23.40199
3.648,70.3125,-18.383299,24.417503
3.6586666666666665,70.3125,-18.647703,24.918861
3.6693333333333333,70.3125,-18.314478,20.959543
3.68,70.3125,-18.81989,23.578363
3.6906666666666665,70.3125,-18.446901,24.09246
3.7013333333333334,70.3125,-18.602917,23.861917
3.712,70.3125,-18.272854,24.883865
3.7226666666666666,70.3125,-18.224838,24.3153
3.7333333333333334,70.3125,-18.616499,24.105158
3.744,70.3125,-18.716566,23.915112
3.7546666666666666,70.3125,-18.55413,24.359806
3.7653333333333334,70.3125,-18.889502,22.141972
3.776,70.3125,-18.7488,24.079931
3.7866666666666666,70.3125,-18.280882,22.461794
3.7973333333333334,70.3125,-18.31571,23.227057
3.808,70.3125,-18.650251,22.9433
3.8186666666666667,70.3125,-18.86936,21.94067
3.8293333333333335,70.3125,-18.689363,22.333075
3.84,70.3125,-18.510271,22.59219
3.8506666666666667,70.3125,-19.194653,22.424477
3.8613333333333335,70.3125,-19.001762,20.780209
3.872,70.3125,-19.372976,19.33112
3.8826666666666667,70.3125,-19.846807,17.12995
3.8933333333333335,70.3125,-19.824688,18.116386
3.904,70.3125,-19.370117,17.434578
3.9146666666666667,70.3125,-19.149105,17.118263
3.925333333333333,70.3125,-19.425215,20.967014
3.936,70.3125,-19.060598,20.223372
3.9466666666666668,70.3125,-19.103483,18.487316
3.957333333333333,70.3125,-19.141125,19.62143
