frequency_hz,amplitude,power
17.910447761194032,8.575042,73.53134
18.03482587064677,1.721435,2.9633384
18.159203980099505,4.3680634,19.079979
18.28358208955224,2.1097543,4.451063
18.40796019900498,0.64484733,0.41582808
18.532338308457714,3.413655,11.653041
18.65671641791045,10.255925,105.184
18.781094527363187,2.7596269,7.6155405
18.905472636815922,6.452238,41.63138
19.02985074626866,6.216392,38.64353
19.154228855721396,3.2262132,10.408452
19.27860696517413,5.6024833,31.38782
19.40298507462687,5.137104,26.389837
19.527363184079604,1.1804057,1.3933578
19.65174129353234,5.1564045,26.588507
19.776119402985078,5.0156274,25.156519
19.900497512437813,0.77678454,0.6033942
20.02487562189055,8.0335655,64.53818
20.149253731343286,2.421029,5.861382
20.27363184079602,3.8375769,14.726996
20.39800995024876,4.50223,20.270077
20.522388059701495,6.0213737,36.256943
20.646766169154233,4.927969,24.284878
20.771144278606968,4.6196475,21.341143
20.895522388059703,1.5429455,2.3806808
21.01990049751244,0.94698447,0.8967796
21.144278606965177,3.8454642,14.787595
21.26865671641791,2.1681802,4.7010055
21.39303482587065,1.122774,1.2606214
21.517412935323385,5.204446,27.086256
21.641791044776124,1.1459421,1.3131833
21.76616915422886,1.1928111,1.4227984
21.890547263681594,3.2883844,10.813472
22.014925373134332,3.660197,13.397042
22.139303482587067,4.9983525,24.983528
22.263681592039806,3.5389676,12.524292
22.38805970149254,7.0791297,50.11408
22.512437810945276,3.3108487,10.9617195
22.636815920398014,8.227158,67.68612
22.76119402985075,6.042929,36.516994
22.885572139303484,6.5002565,42.253334
23.009950248756223,12.209038,149.06061
23.134328358208958,1.8926152,3.5819924
23.258706467661696,10.44932,109.188286
23.38308457711443,5.8364377,34.064007
23.507462686567166,5.5091,30.350182
23.631840796019905,4.6959357,22.051813
23.75621890547264,5.7421045,32.971764
23.880597014925378,5.1872745,26.907816
24.004975124378113,6.902613,47.64607
24.129353233830848,9.552532,91.25087
24.253731343283587,7.3792577,54.453445
24.37810945273632,8.501963,72.28337
24.502487562189057,3.3262951,11.0642395
24.626865671641795,10.988879,120.75546
24.75124378109453,1.3694904,1.8755039
24.87562189054727,13.527137,182.98343
25.000000000000004,2.206147,4.8670845
25.12437810945274,7.841285,61.485756
25.248756218905477,2.2471685,5.0497665
25.373134328358212,11.454116,131.19678
25.497512437810947,2.2335823,4.9888897
25.621890547263686,16.625444,276.4054
25.74626865671642,9.2551775,85.65831
25.87064676616916,3.7716393,14.225264
25.995024875621894,9.628184,92.701935
26.11940298507463,6.4699035,41.85965
26.243781094527368,10.477735,109.78292
26.368159203980102,11.593907,134.41869
26.49253731343284,13.64434,186.168
26.616915422885576,9.288542,86.27701
26.74129353233831,8.620859,74.319214
26.86567164179105,4.5039167,20.285267
26.990049751243784,8.767744,76.87334
27.11442786069652,5.5055494,30.311075
27.238805970149258,11.507831,132.43016
27.363184079601993,11.708361,137.08571
27.48756218905473,8.702692,75.73685
27.611940298507466,8.609278,74.11966
27.7363184079602,8.7768955,77.0339
27.86069651741294,14.074843,198.10121
27.985074626865675,13.699579,187.67847
28.109452736318413,10.089087,101.789665
28.23383084577115,23.468721,550.7809
28.358208955223883,4.083123,16.671896
28.482587064676622,25.74734,662.9255
28.606965174129357,6.226542,38.769825
28.731343283582092,22.986584,528.38306
28.85572139303483,12.799613,163.8301
28.980099502487565,18.271303,333.8405
29.104477611940304,10.593197,112.21582
29.22885572139304,15.553253,241.90369
29.353233830845774,5.009019,25.090271
29.477611940298512,16.279413,265.0193
29.601990049751247,7.2952952,53.221333
29.726368159203982,22.048582,486.13998
29.85074626865672,6.828745,46.631756
29.975124378109456,29.84658,890.81836
30.099502487562194,18.54455,343.90033
30.22388059701493,31.133312,969.28314
30.348258706467664,15.6374035,244.52838
30.472636815920403,20.593258,424.08228
30.597014925373138,2.3413014,5.4816923
30.721393034825876,25.205437,635.314
30.84577114427861,6.233506,38.856598
30.970149253731346,12.272978,150.62599
31.094527363184085,6.4654746,41.80236
31.21890547263682,9.437599,89.068275
31.343283582089555,11.538799,133.14389
31.467661691542293,12.262032,150.35742
31.59203980099503,15.126898,228.82304
31.716417910447767,18.186785,330.75912
31.840796019900502,12.577436,158.19191
31.965174129353237,25.339994,642.1153
32.08955223880597,17.590242,309.41663
32.213930348258714,24.380232,594.3957
32.33830845771145,13.362696,178.56163
32.462686567164184,17.912767,320.86725
32.58706467661692,12.079972,145.92574
32.711442786069654,16.136766,260.39523
32.835820895522396,11.667277,136.12537
32.96019900497513,10.314533,106.389595
33.084577114427866,12.519033,156.7262
33.2089552238806,7.404756,54.830414
33.333333333333336,11.540917,133.19278
33.45771144278607,11.624069,135.11899
33.58208955223881,13.57876,184.38272
33.70646766169155,9.697016,94.03211
33.83084577114428,21.150469,447.34235
33.95522388059702,10.984379,120.65658
34.07960199004975,15.070919,227.1326
34.203980099502495,24.163868,583.8925
34.32835820895523,14.812358,219.40594
34.452736318407965,27.776018,771.5072
34.5771144278607,39.450054,1556.3068
34.701492537313435,13.283366,176.44781
34.82587064676618,25.283678,639.2644
34.95024875621891,6.8979793,47.58212
35.07462686567165,4.8074703,23.11177
35.19900497512438,17.350359,301.03494
35.32338308457712,7.31427,53.498547
35.44776119402986,20.880102,435.97867
35.572139303482594,8.165474,66.674965
35.69651741293533,19.694258,387.8638
35.820895522388064,14.758546,217.81468
35.9452736318408,25.821163,666.7325
