time_sec,amplitude
1.936,-0.00052224984
1.94,-0.0012133517
1.944,-0.00027063413
1.948,0.00014134031
1.952,0.0005331214
1.956,-0.0009788524
1.96,0.00024333567
1.964,0.00077211275
1.968,0.0002487569
1.972,-0.001343433
1.976,0.00017272774
1.98,0.0013149665
1.984,-0.00040297775
1.988,-0.00014494707
1.992,-0.00028038007
1.996,-0.00010371447
2.0,-0.00026374392
2.004,-0.00046120226
2.008,0.00023550968
2.012,0.00018055862
2.016,-5.0169256e-05
2.02,0.0003619056
2.024,0.00051548576
2.028,-0.0002506168
2.032,-0.00010822174
2.036,0.00014649198
2.04,0.00030541062
2.044,0.0004415791
2.048,-0.0004015269
2.052,0.00015580365
2.056,-0.00015430638
2.06,-5.2339194e-05
2.064,-8.224706e-05
2.068,-0.000746591
2.072,0.00027551557
2.076,1.5943806e-06
2.08,0.00017029836
2.084,-0.000164517
2.088,-0.00026279152
2.092,9.014558e-05
2.096,0.00028904874
2.1,-0.00023540006
2.104,-0.00019043352
2.108,0.00012349509
2.112,-5.2538227e-05
2.116,-1.7857601e-05
2.12,1.9559378e-05
2.124,-4.676168e-05
2.128,-7.866891e-05
2.132,3.678392e-05
2.136,-0.00012039914
2.14,-2.3039744e-05
2.144,1.02972335e-05
2.148,-9.083327e-05
2.152,-6.9139016e-05
2.156,-1.413835e-05
2.16,-0.00012890849
2.164,-0.00013196634
2.168,3.5296616e-05
2.172,-0.00023084841
2.176,-7.7512654e-05
2.18,-1.4910074e-05
2.184,-5.273149e-05
2.188,-6.9744245e-05
2.192,-0.00017872357
2.196,7.1724695e-05
2.2,-0.000119556666
2.204,9.2299255e-05
2.208,-0.00015419014
2.212,-0.00032730194
2.216,0.0001293144
2.22,0.00013909617
2.224,-4.851245e-05
2.228,6.829828e-05
2.232,0.00010114915
2.236,-0.00016080271
2.24,-9.943012e-05
2.244,-0.0003988475
2.248,8.791831e-05
2.252,-4.3172855e-05
2.256,-0.0007378146
2.26,-0.00024864916
2.264,0.00086701766
2.268,0.0005385148
2.272,0.0007384382
2.276,0.00045664445
2.28,0.0003410033
2.284,0.0006030529
2.288,-0.0006239353
2.292,-0.0013120106
2.296,-0.0013192336
2.3,0.002086909
2.304,0.0027813339
2.308,0.005427138
2.312,0.00018070482
2.316,-0.00498842
2.32,-0.005132175
2.324,-0.00067464216
2.328,-0.0073665096
2.332,0.0013225252
2.336,0.0002785313
2.34,-0.0044395225
2.344,0.0013933536
2.348,-0.0009330368
2.352,-0.0042579565
2.356,-0.005718331
2.36,-0.0053065084
2.364,0.005155279
2.368,0.012377414
2.372,-0.002120663
2.376,-0.12580541
2.38,-0.06865252
2.384,-0.0013832795
2.388,-0.0011138225
2.392,0.049200546
2.396,-0.105305485
2.4,-0.1752396
2.404,-0.058896936
2.408,0.0018413003
2.412,0.0048249597
2.416,0.025524043
2.42,0.004399578
2.424,-0.010834223
2.428,-0.0058921436
2.432,0.028999403
2.436,0.0013741248
2.44,0.043057106
2.444,0.01660078
2.448,-0.011070598
2.452,-0.0005823397
2.456,-0.0409719
2.46,-0.009303482
2.464,0.026926704
2.468,0.0084428135
2.472,0.032523587
2.476,0.021164076
2.48,0.017605599
2.484,-0.052904826
2.488,0.032197814
2.492,-0.010376066
2.496,0.013963563
2.5,-0.025599616
2.504,0.008974133
2.508,0.056861892
2.512,-0.0009452456
2.516,0.004202277
2.52,-0.0216316
2.524,-0.0020246422
2.528,-0.012884358
2.532,-0.03875106
2.536,-0.024917537
2.54,0.006413213
2.544,-0.00030393386
2.548,0.058685966
2.552,0.016027603
2.556,0.00035475055
2.56,-0.060742885
2.564,0.034959104
2.568,-0.033156198
2.572,-0.0060944725
2.576,0.02323963
2.58,-0.014043681
2.584,-0.014864862
2.588,0.019488722
2.592,0.029789452
2.596,-0.023756642
2.6,0.052943505
2.604,0.034249954
2.608,-0.1335442
2.612,0.07417579
2.616,0.009572822
2.62,0.0685123
2.624,0.07451654
2.628,0.08043364
2.632,-4.1965395e-06
2.636,0.051961035
2.64,0.18657279
2.644,-0.11083221
2.648,-0.15602376
2.652,0.29983532
2.656,-0.17341793
2.66,-0.14214775
2.664,0.28678077
2.668,-0.11324781
2.672,-0.13616905
2.676,0.11395882
2.68,0.10981921
2.684,-0.06335392
2.688,-0.110021375
2.692,0.38097048
2.696,-0.084279865
2.7,-0.19113939
2.704,0.31250465
2.708,-0.22801024
2.712,-0.24791265
2.716,0.19329801
2.72,0.08285838
2.724,0.04599946
2.728,0.044506516
2.732,0.30738842
2.736,-0.100421764
2.74,-0.17958267
2.744,0.24076939
2.748,-0.24512795
2.752,-0.20067322
2.756,0.23158896
2.76,0.12237963
2.764,0.112170726
2.768,0.08053303
2.772,0.17997724
2.776,-0.08003987
2.78,-0.20930643
2.784,0.2551301
2.788,-0.15462372
2.792,-0.25127083
2.796,0.32966197
2.8,-0.18333003
